Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team_id,game_id
Mikiah Herbert Harrigan,29:00:00,2,7,0.286,1,4,0.25,1,2,0.5,0,3,0,1,2,1,5,6,-5,PHO,202407070LAS
Rickea Jackson,37:03:00,8,17,0.471,2,4,0.5,4,6,0.667,3,6,3,0,0,0,2,22,-1,LAS,202407070LAS
Dearica Hamby,35:30:00,10,19,0.526,2,4,0.5,3,5,0.6,3,9,1,0,0,1,4,25,-7,LAS,202407070LAS
Aari McDonald,24:45:00,1,10,0.1,0,6,0,2,2,1,0,2,6,0,1,1,3,4,-11,LAS,202407070LAS
Kia Nurse,17:27,1,2,0.5,0,1,0,0,0,,0,3,2,0,0,2,3,2,-8,LAS,202407070LAS
Stephanie Talbot,5:55,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,0,2,-2,LAS,202407070LAS
Arike Ogunbowale,36:55:00,4,13,0.308,2,6,0.333,3,3,1,0,6,4,3,0,2,3,13,-23,DAL,202407070LVA
Odyssey Sims,33:32:00,11,18,0.611,3,5,0.6,0,0,,3,4,5,1,0,2,1,25,-18,DAL,202407070LVA
Jacy Sheldon,32:15:00,3,8,0.375,0,4,0,0,0,,1,3,3,1,1,1,4,6,-16,DAL,202407070LVA
Natasha Howard,26:33:00,7,18,0.389,0,3,0,0,1,0,1,8,4,0,0,3,2,14,-15,DAL,202407070LVA
Teaira McCowan,23:08,4,6,0.667,0,0,,1,1,1,2,4,0,0,2,2,3,9,-18,DAL,202407070LVA
A'ja Wilson,31:12:00,11,22,0.5,3,4,0.75,3,4,0.75,3,10,2,1,2,2,0,28,26,LVA,202407070LVA
Kelsey Plum,31:02:00,7,15,0.467,3,9,0.333,6,6,1,0,1,3,1,0,1,1,23,22,LVA,202407070LVA
Jackie Young,29:20:00,7,14,0.5,2,6,0.333,2,2,1,1,6,5,3,0,1,2,18,19,LVA,202407070LVA
Alysha Clark,28:59:00,2,7,0.286,2,6,0.333,0,0,,2,7,4,1,1,1,4,6,21,LVA,202407070LVA
Chelsea Gray,26:04:00,5,9,0.556,0,1,0,2,3,0.667,0,4,3,0,1,3,2,12,27,LVA,202407070LVA
Angel Reese,40:00:00,8,15,0.533,0,2,0,1,2,0.5,4,14,0,4,1,2,4,17,-13,CHI,202407070SEA
Chennedy Carter,35:00:00,7,22,0.318,0,0,,7,8,0.875,0,4,1,1,1,1,4,21,-22,CHI,202407070SEA
Marina Mabrey,31:28:00,6,17,0.353,2,9,0.222,0,0,,0,5,6,0,1,4,3,14,3,CHI,202407070SEA
Lindsay Allen,25:33:00,1,2,0.5,0,0,,0,0,,0,0,6,0,0,0,3,2,-11,CHI,202407070SEA
Kamilla Cardoso,19:59,3,7,0.429,0,0,,0,0,,5,8,1,1,4,1,1,6,-4,CHI,202407070SEA
Jewell Loyd,37:25:00,6,20,0.3,1,6,0.167,7,8,0.875,0,2,4,0,0,3,1,20,12,SEA,202407070SEA
Ezi Magbegor,36:09:00,6,16,0.375,0,2,0,1,2,0.5,3,13,4,1,4,0,4,13,16,SEA,202407070SEA
Nneka Ogwumike,35:48:00,9,15,0.6,1,1,1,5,6,0.833,3,13,2,2,1,0,1,24,11,SEA,202407070SEA
Skylar Diggins-Smith,32:39:00,5,8,0.625,2,4,0.5,3,4,0.75,0,3,8,0,2,3,5,15,12,SEA,202407070SEA
Jordan Horston,32:38:00,0,3,0,0,1,0,4,4,1,1,4,4,1,0,3,2,4,13,SEA,202407070SEA
Dorka JuhÃ¡sz,31:51:00,7,11,0.636,0,0,,1,1,1,2,6,2,1,2,0,1,15,25,MIN,202407090LAS
Bridget Carleton,28:12:00,6,7,0.857,4,4,1,0,0,,0,4,3,0,0,1,3,16,20,MIN,202407090LAS
Kayla McBride,25:20:00,4,9,0.444,1,4,0.25,2,2,1,0,1,4,1,0,0,0,11,17,MIN,202407090LAS
Alanna Smith,21:02,2,6,0.333,0,1,0,2,2,1,1,6,3,2,0,2,5,6,13,MIN,202407090LAS
Courtney Williams,20:07,2,8,0.25,0,1,0,0,0,,0,2,5,2,0,2,1,4,10,MIN,202407090LAS
Dearica Hamby,36:34:00,7,9,0.778,1,2,0.5,3,3,1,0,8,2,1,1,5,3,18,-16,LAS,202407090LAS
Azura Stevens,28:11:00,4,9,0.444,1,3,0.333,0,0,,0,6,4,1,2,2,1,9,1,LAS,202407090LAS
Rickea Jackson,23:43,3,8,0.375,0,2,0,0,1,0,1,1,0,0,0,2,2,6,-17,LAS,202407090LAS
Kia Nurse,21:11,2,7,0.286,0,4,0,1,1,1,0,2,1,0,0,0,2,5,-13,LAS,202407090LAS
Aari McDonald,14:40,2,6,0.333,0,2,0,0,0,,0,3,4,0,1,4,1,4,-11,LAS,202407090LAS
Allisha Gray,37:28:00,9,19,0.474,1,5,0.2,1,2,0.5,1,6,1,1,2,4,2,20,-11,ATL,202407100CHI
Haley Jones,33:51:00,4,8,0.5,0,1,0,4,4,1,0,7,3,1,1,4,3,12,-10,ATL,202407100CHI
Maya Caldwell,27:49:00,3,6,0.5,0,1,0,0,0,,0,2,4,3,1,1,1,6,-3,ATL,202407100CHI
Tina Charles,24:48:00,4,13,0.308,0,0,,1,3,0.333,0,4,2,0,0,1,2,9,-7,ATL,202407100CHI
Nia Coffey,12:07,0,3,0,0,1,0,0,0,,0,2,3,0,0,1,1,0,0,ATL,202407100CHI
Chennedy Carter,33:35:00,9,21,0.429,1,2,0.5,0,2,0,0,5,5,1,1,3,0,19,9,CHI,202407100CHI
Marina Mabrey,31:34:00,3,11,0.273,2,7,0.286,1,1,1,1,2,5,2,1,3,2,9,1,CHI,202407100CHI
Kamilla Cardoso,30:48:00,5,9,0.556,0,0,,0,0,,3,11,1,1,3,1,3,10,6,CHI,202407100CHI
Angel Reese,29:54:00,4,9,0.444,0,1,0,3,4,0.75,2,13,2,3,2,2,4,11,12,CHI,202407100CHI
Lindsay Allen,22:40,2,3,0.667,1,1,1,0,0,,0,1,3,0,0,1,0,5,10,CHI,202407100CHI
Jonquel Jones,35:18:00,4,8,0.5,0,3,0,0,0,,0,11,3,1,1,2,3,8,0,NYL,202407100CON
Sabrina Ionescu,34:41:00,8,15,0.533,1,3,0.333,4,4,1,0,5,5,1,1,3,0,21,2,NYL,202407100CON
Courtney Vandersloot,34:25:00,5,11,0.455,1,4,0.25,0,0,,0,0,3,0,1,0,3,11,11,NYL,202407100CON
Breanna Stewart,34:21:00,5,9,0.556,0,1,0,8,10,0.8,1,14,2,1,3,3,3,18,4,NYL,202407100CON
Leonie Fiebich,33:18:00,2,6,0.333,1,1,1,0,2,0,0,2,5,1,0,1,4,5,2,NYL,202407100CON
DeWanna Bonner,40:00:00,6,16,0.375,3,5,0.6,7,7,1,1,9,3,0,0,1,1,22,-3,CON,202407100CON
Alyssa Thomas,37:16:00,1,4,0.25,0,0,,1,2,0.5,3,9,8,1,1,4,4,3,-5,CON,202407100CON
Brionna Jones,35:18:00,8,15,0.533,0,0,,1,2,0.5,2,8,2,0,1,1,2,17,0,CON,202407100CON
Tyasha Harris,29:02:00,4,14,0.286,1,6,0.167,2,2,1,0,1,3,0,0,0,3,11,-7,CON,202407100CON
DiJonai Carrington,23:28,3,9,0.333,1,1,1,1,1,1,0,5,0,0,0,2,4,8,-4,CON,202407100CON
Ariel Atkins,32:26:00,10,17,0.588,1,3,0.333,5,6,0.833,1,3,3,3,1,3,4,26,10,WAS,202407100IND
Stefanie Dolson,29:00:00,5,8,0.625,2,3,0.667,1,1,1,0,5,6,1,0,1,3,13,-4,WAS,202407100IND
Julie Vanloo,28:21:00,4,10,0.4,3,7,0.429,2,2,1,0,2,2,0,0,2,4,13,13,WAS,202407100IND
Myisha Hines-Allen,20:44,1,8,0.125,0,1,0,0,0,,5,9,3,0,0,3,2,2,4,WAS,202407100IND
DiDi Richards,9:06,0,1,0,0,0,,0,0,,1,2,0,0,1,0,0,0,-5,WAS,202407100IND
Caitlin Clark,37:47:00,7,14,0.5,5,9,0.556,10,11,0.909,1,5,13,5,3,5,5,29,-5,IND,202407100IND
Kelsey Mitchell,37:47:00,6,14,0.429,0,8,0,3,5,0.6,0,3,2,0,0,2,1,15,2,IND,202407100IND
Katie Lou Samuelson,32:45:00,3,6,0.5,2,4,0.5,0,0,,0,9,0,0,0,3,5,8,-5,IND,202407100IND
Aliyah Boston,20:58,3,4,0.75,0,0,,0,0,,1,6,0,0,2,5,5,6,7,IND,202407100IND
Lexie Hull,19:51,2,2,1,1,1,1,0,0,,0,2,2,3,0,0,0,5,5,IND,202407100IND
Arike Ogunbowale,38:10:00,4,14,0.286,2,8,0.25,3,3,1,0,2,13,1,0,0,4,13,-16,DAL,202407100PHO
Odyssey Sims,37:16:00,6,11,0.545,5,6,0.833,2,3,0.667,0,2,4,1,0,3,3,19,-14,DAL,202407100PHO
Natasha Howard,31:59:00,7,10,0.7,0,0,,5,8,0.625,1,5,2,1,1,3,3,19,-2,DAL,202407100PHO
Jacy Sheldon,28:53:00,1,4,0.25,0,2,0,2,2,1,2,2,1,0,0,1,1,4,-16,DAL,202407100PHO
Teaira McCowan,28:00:00,7,10,0.7,0,0,,1,2,0.5,4,10,1,1,0,3,3,15,-3,DAL,202407100PHO
Natasha Cloud,34:33:00,4,7,0.571,2,5,0.4,4,4,1,0,3,6,1,0,6,2,14,6,PHO,202407100PHO
Kahleah Copper,33:59:00,12,19,0.632,1,4,0.25,7,9,0.778,1,5,4,0,0,3,4,32,15,PHO,202407100PHO
Brittney Griner,30:48:00,9,15,0.6,2,2,1,3,3,1,2,4,4,3,2,1,2,23,9,PHO,202407100PHO
Mikiah Herbert Harrigan,25:25:00,5,8,0.625,2,5,0.4,0,0,,0,2,1,2,2,0,4,12,5,PHO,202407100PHO
Rebecca Allen,20:31,3,6,0.5,1,3,0.333,1,1,1,1,1,0,1,1,0,2,8,9,PHO,202407100PHO
A'ja Wilson,35:08:00,7,18,0.389,0,2,0,10,10,1,2,20,2,3,4,0,0,24,-2,LVA,202407100SEA
Jackie Young,34:28:00,10,19,0.526,1,6,0.167,6,7,0.857,0,5,4,1,0,4,5,27,9,LVA,202407100SEA
Chelsea Gray,33:48:00,5,8,0.625,1,2,0.5,0,0,,0,0,6,0,1,4,1,11,5,LVA,202407100SEA
Kelsey Plum,33:44:00,5,13,0.385,2,6,0.333,1,1,1,1,2,4,0,0,1,3,13,9,LVA,202407100SEA
Kiah Stokes,16:50,0,0,,0,0,,0,0,,0,7,1,1,0,0,0,0,6,LVA,202407100SEA
Skylar Diggins-Smith,37:32:00,7,13,0.538,0,2,0,2,2,1,0,4,8,0,1,1,4,16,-5,SEA,202407100SEA
Ezi Magbegor,35:42:00,5,7,0.714,0,1,0,0,0,,3,10,3,0,0,2,2,10,-4,SEA,202407100SEA
Nneka Ogwumike,35:13:00,4,15,0.267,1,3,0.333,0,1,0,2,8,2,1,0,2,0,9,-7,SEA,202407100SEA
Jewell Loyd,35:07:00,8,22,0.364,2,4,0.5,10,11,0.909,0,3,3,1,0,4,3,28,-10,SEA,202407100SEA
Jordan Horston,26:49:00,1,6,0.167,0,1,0,0,0,,1,7,2,1,0,2,2,2,-2,SEA,202407100SEA
Marina Mabrey,36:19:00,5,9,0.556,4,5,0.8,1,2,0.5,1,3,6,0,0,5,4,15,-7,CHI,202407110NYL
Lindsay Allen,32:56:00,2,6,0.333,0,2,0,1,1,1,1,2,7,1,0,2,5,5,-7,CHI,202407110NYL
Chennedy Carter,32:29:00,10,21,0.476,0,0,,2,4,0.5,1,1,5,1,0,2,2,22,-12,CHI,202407110NYL
Angel Reese,29:42:00,5,17,0.294,0,0,,0,0,,5,10,1,0,1,1,2,10,-3,CHI,202407110NYL
Kamilla Cardoso,20:26,4,5,0.8,0,0,,0,0,,1,7,1,0,0,0,2,8,-16,CHI,202407110NYL
Sabrina Ionescu,34:12:00,7,17,0.412,4,7,0.571,3,4,0.75,1,6,4,2,0,2,1,21,23,NYL,202407110NYL
Jonquel Jones,33:08:00,7,12,0.583,1,1,1,3,3,1,2,13,3,0,4,2,3,18,22,NYL,202407110NYL
Leonie Fiebich,32:27:00,4,5,0.8,4,5,0.8,1,2,0.5,0,4,4,1,0,0,1,13,27,NYL,202407110NYL
Breanna Stewart,32:21:00,5,14,0.357,0,3,0,9,9,1,0,4,6,1,2,0,0,19,18,NYL,202407110NYL
Courtney Vandersloot,18:11,1,4,0.25,0,1,0,0,0,,0,0,6,0,0,0,2,2,-20,NYL,202407110NYL
A'ja Wilson,37:20:00,13,23,0.565,3,4,0.75,4,4,1,2,18,1,3,5,0,2,33,22,LVA,202407120ATL
Jackie Young,34:46:00,6,13,0.462,4,8,0.5,3,4,0.75,0,4,6,0,0,3,2,19,21,LVA,202407120ATL
Kelsey Plum,32:34:00,4,11,0.364,2,6,0.333,5,5,1,0,5,7,2,0,3,3,15,22,LVA,202407120ATL
Chelsea Gray,31:16:00,2,9,0.222,0,3,0,1,2,0.5,0,3,5,1,0,1,1,5,17,LVA,202407120ATL
Kiah Stokes,14:16,0,0,,0,0,,0,0,,0,2,0,0,1,0,2,0,-4,LVA,202407120ATL
Allisha Gray,38:22:00,4,15,0.267,0,5,0,3,5,0.6,2,7,4,0,1,3,1,11,-8,ATL,202407120ATL
Maya Caldwell,28:46:00,6,17,0.353,1,9,0.111,0,0,,1,3,0,0,0,2,2,13,-17,ATL,202407120ATL
Haley Jones,26:38:00,1,5,0.2,1,2,0.5,0,0,,0,1,2,0,1,3,3,3,-18,ATL,202407120ATL
Tina Charles,25:46:00,5,17,0.294,0,0,,2,4,0.5,4,12,1,0,0,1,4,12,-30,ATL,202407120ATL
Naz Hillmon,18:00,1,1,1,0,0,,0,0,,3,9,1,0,0,0,0,2,-14,ATL,202407120ATL
Mikiah Herbert Harrigan,37:40:00,4,7,0.571,2,3,0.667,0,2,0,4,7,2,2,1,2,2,10,-13,PHO,202407120IND
Sophie Cunningham,36:12:00,6,13,0.462,5,9,0.556,4,4,1,1,6,4,2,0,1,3,21,-12,PHO,202407120IND
Kahleah Copper,34:47:00,11,25,0.44,3,11,0.273,11,13,0.846,0,1,1,0,0,2,5,36,-11,PHO,202407120IND
Rebecca Allen,25:29:00,2,10,0.2,0,4,0,0,0,,0,4,3,1,0,2,1,4,-13,PHO,202407120IND
Brittney Griner,10:58,2,6,0.333,0,1,0,0,0,,0,0,1,0,2,0,0,4,-12,PHO,202407120IND
Caitlin Clark,38:26:00,8,16,0.5,2,7,0.286,2,2,1,1,6,13,1,2,6,2,20,9,IND,202407120IND
NaLyssa Smith,34:48:00,6,13,0.462,1,3,0.333,1,2,0.5,2,10,0,1,2,3,0,14,14,IND,202407120IND
Aliyah Boston,33:10:00,10,17,0.588,0,1,0,1,3,0.333,8,13,5,3,2,2,1,21,13,IND,202407120IND
Kelsey Mitchell,33:01:00,11,19,0.579,3,10,0.3,3,3,1,1,3,0,1,0,0,4,28,25,IND,202407120IND
Katie Lou Samuelson,27:20:00,3,8,0.375,0,5,0,0,0,,1,5,2,1,0,0,1,6,14,IND,202407120IND
Bridget Carleton,30:00:00,1,8,0.125,0,4,0,0,0,,0,3,1,0,1,0,2,2,-11,MIN,202407120SEA
Alanna Smith,29:03:00,1,4,0.25,0,3,0,0,1,0,0,3,5,1,1,2,3,2,-12,MIN,202407120SEA
Kayla McBride,25:18:00,7,13,0.538,6,12,0.5,7,7,1,0,1,1,3,0,1,1,27,-13,MIN,202407120SEA
Dorka JuhÃ¡sz,20:25,2,6,0.333,0,1,0,0,0,,3,7,1,1,0,2,3,4,-11,MIN,202407120SEA
Courtney Williams,17:27,2,6,0.333,0,0,,2,3,0.667,0,3,3,0,0,2,1,6,-4,MIN,202407120SEA
Ezi Magbegor,28:04:00,4,8,0.5,0,0,,2,2,1,3,8,2,0,1,1,3,10,13,SEA,202407120SEA
Skylar Diggins-Smith,27:37:00,3,10,0.3,1,2,0.5,3,3,1,0,5,12,2,1,4,3,10,23,SEA,202407120SEA
Jewell Loyd,26:44:00,5,13,0.385,0,4,0,4,5,0.8,0,2,5,2,0,0,2,14,7,SEA,202407120SEA
Nneka Ogwumike,24:26:00,10,14,0.714,1,2,0.5,5,5,1,4,7,3,0,0,1,1,26,14,SEA,202407120SEA
Jordan Horston,21:46,2,5,0.4,0,2,0,0,0,,0,2,2,3,0,1,2,4,2,SEA,202407120SEA
Sabrina Ionescu,34:22:00,9,21,0.429,4,12,0.333,6,7,0.857,0,3,6,1,0,1,2,28,7,NYL,202407130CHI
Jonquel Jones,34:12:00,6,14,0.429,1,5,0.2,1,2,0.5,2,9,7,0,3,1,2,14,25,NYL,202407130CHI
Kennedy Burke,30:34:00,3,9,0.333,1,6,0.167,0,0,,0,3,2,3,1,1,1,7,3,NYL,202407130CHI
Leonie Fiebich,30:33:00,5,10,0.5,3,5,0.6,0,0,,0,6,2,0,1,0,1,13,20,NYL,202407130CHI
Courtney Vandersloot,14:35,0,2,0,0,1,0,1,2,0.5,0,2,3,1,0,2,2,1,-3,NYL,202407130CHI
Marina Mabrey,37:45:00,8,19,0.421,4,7,0.571,1,1,1,0,12,7,0,0,4,1,21,-10,CHI,202407130CHI
Angel Reese,36:25:00,3,13,0.231,0,1,0,2,2,1,6,16,1,1,0,2,5,8,-13,CHI,202407130CHI
Kamilla Cardoso,34:29:00,3,8,0.375,0,0,,0,0,,3,5,0,1,1,3,2,6,-18,CHI,202407130CHI
Lindsay Allen,32:15:00,4,7,0.571,0,1,0,0,0,,1,2,4,2,0,2,2,8,-2,CHI,202407130CHI
Chennedy Carter,15:49,3,10,0.3,0,1,0,1,1,1,2,3,0,0,0,0,3,7,-11,CHI,202407130CHI
Azura Stevens,37:56:00,6,10,0.6,4,4,1,0,0,,1,8,4,4,3,3,5,16,10,LAS,202407130DAL
Dearica Hamby,36:25:00,13,24,0.542,1,3,0.333,0,1,0,1,4,5,2,1,2,4,27,-2,LAS,202407130DAL
Rickea Jackson,29:23:00,8,14,0.571,0,3,0,7,9,0.778,0,7,2,1,0,3,4,23,17,LAS,202407130DAL
Aari McDonald,28:11:00,4,7,0.571,0,1,0,4,4,1,1,3,4,3,0,1,0,12,4,LAS,202407130DAL
Kia Nurse,24:51:00,1,4,0.25,1,2,0.5,0,0,,0,2,1,0,0,1,2,3,0,LAS,202407130DAL
Odyssey Sims,38:30:00,9,17,0.529,2,4,0.5,3,4,0.75,1,5,5,0,1,1,3,23,-9,DAL,202407130DAL
Arike Ogunbowale,37:53:00,2,15,0.133,2,9,0.222,6,6,1,1,3,4,2,2,5,5,12,-4,DAL,202407130DAL
Natasha Howard,36:06:00,6,18,0.333,0,1,0,2,2,1,2,7,4,2,2,3,3,14,7,DAL,202407130DAL
Jacy Sheldon,34:39:00,3,4,0.75,0,1,0,0,0,,1,5,2,1,0,1,4,6,-2,DAL,202407130DAL
Teaira McCowan,16:48,5,7,0.714,0,0,,0,0,,1,6,1,0,1,0,1,10,-8,DAL,202407130DAL
