Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team_id,game_id
Allisha Gray,34:39:00,8,13,0.615,3,7,0.429,0,2,0,0,3,4,1,0,3,1,19,-2,ATL,202407020ATL
Tina Charles,33:35:00,8,21,0.381,1,1,1,2,4,0.5,6,14,5,1,1,2,3,19,6,ATL,202407020ATL
Haley Jones,26:25:00,3,6,0.5,0,0,,0,0,,1,2,2,0,1,2,3,6,6,ATL,202407020ATL
Nia Coffey,19:36,2,5,0.4,1,4,0.25,0,0,,0,3,3,1,0,2,3,5,-1,ATL,202407020ATL
Ariel Atkins,31:02:00,5,9,0.556,2,3,0.667,0,0,,0,2,5,1,0,3,2,12,-8,WAS,202407020LAS
Julie Vanloo,28:18:00,5,10,0.5,5,9,0.556,0,0,,0,4,4,1,0,3,1,15,5,WAS,202407020LAS
Stefanie Dolson,26:45:00,4,6,0.667,1,1,1,1,1,1,0,8,4,0,0,1,4,10,0,WAS,202407020LAS
Myisha Hines-Allen,23:47,7,13,0.538,1,5,0.2,1,2,0.5,3,7,4,0,0,1,1,16,3,WAS,202407020LAS
DiDi Richards,10:55,0,3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,-6,WAS,202407020LAS
Dearica Hamby,36:54:00,6,12,0.5,1,4,0.25,3,6,0.5,1,11,7,1,0,3,3,16,-7,LAS,202407020LAS
Aari McDonald,35:35:00,7,13,0.538,3,7,0.429,0,0,,0,3,6,1,0,2,3,17,2,LAS,202407020LAS
Stephanie Talbot,29:56:00,4,8,0.5,4,6,0.667,5,8,0.625,2,8,3,3,0,2,2,17,4,LAS,202407020LAS
Rickea Jackson,29:51:00,5,12,0.417,2,4,0.5,0,0,,3,5,4,0,0,2,4,12,-9,LAS,202407020LAS
Kia Nurse,23:22,2,6,0.333,2,6,0.333,1,2,0.5,0,1,0,0,0,1,4,7,0,LAS,202407020LAS
Caitlin Clark,37:45:00,4,12,0.333,1,7,0.143,4,4,1,0,6,11,1,0,6,5,13,-19,IND,202407020LVA
Aliyah Boston,35:32:00,9,17,0.529,0,2,0,0,0,,5,11,2,1,1,0,1,18,-14,IND,202407020LVA
Kelsey Mitchell,35:26:00,9,20,0.45,5,10,0.5,0,0,,2,4,1,0,0,2,3,23,-12,IND,202407020LVA
Katie Lou Samuelson,27:38:00,1,6,0.167,0,4,0,2,2,1,0,1,0,0,1,4,3,4,-10,IND,202407020LVA
NaLyssa Smith,26:16:00,2,7,0.286,0,0,,1,7,0.143,3,14,1,0,1,2,3,5,-12,IND,202407020LVA
Jackie Young,38:11:00,5,16,0.313,2,8,0.25,3,3,1,2,4,10,0,0,1,1,15,19,LVA,202407020LVA
Kelsey Plum,37:22:00,11,20,0.55,6,11,0.545,6,7,0.857,1,6,5,1,0,3,3,34,19,LVA,202407020LVA
A'ja Wilson,36:10:00,13,22,0.591,0,0,,2,3,0.667,2,9,1,2,5,0,2,28,14,LVA,202407020LVA
Kiah Stokes,26:06:00,1,2,0.5,0,1,0,0,0,,2,12,0,2,1,0,3,2,19,LVA,202407020LVA
Chelsea Gray,19:55,1,8,0.125,0,3,0,2,2,1,0,1,4,2,1,2,1,4,5,LVA,202407020LVA
Kayla McBride,37:03:00,5,14,0.357,3,10,0.3,4,4,1,0,2,2,1,0,1,1,17,-12,MIN,202407020NYL
Napheesa Collier,37:02:00,7,13,0.538,1,2,0.5,0,2,0,1,10,6,0,1,3,2,15,-13,MIN,202407020NYL
Alanna Smith,30:15:00,4,11,0.364,1,4,0.25,0,0,,0,2,6,1,1,0,2,9,-9,MIN,202407020NYL
Courtney Williams,26:27:00,3,13,0.231,1,4,0.25,2,2,1,0,7,4,0,0,1,2,9,-13,MIN,202407020NYL
Bridget Carleton,22:24,0,1,0,0,1,0,1,2,0.5,0,4,2,1,0,2,4,1,-10,MIN,202407020NYL
Breanna Stewart,37:52:00,5,20,0.25,0,5,0,7,8,0.875,3,17,3,2,2,2,2,17,11,NYL,202407020NYL
Sabrina Ionescu,36:36:00,7,20,0.35,1,10,0.1,2,2,1,0,5,5,1,0,1,0,17,12,NYL,202407020NYL
Jonquel Jones,33:15:00,8,13,0.615,3,6,0.5,2,2,1,4,12,4,1,1,2,3,21,11,NYL,202407020NYL
Betnijah Laney,28:03:00,4,6,0.667,1,2,0.5,0,0,,1,5,2,1,0,3,0,9,12,NYL,202407020NYL
Courtney Vandersloot,17:30,2,6,0.333,1,3,0.333,0,2,0,0,0,1,0,1,0,0,5,-11,NYL,202407020NYL
Brittney Griner,33:05:00,10,14,0.714,0,0,,4,4,1,2,8,1,3,2,2,2,24,11,PHO,202407030DAL
Kahleah Copper,32:15:00,14,20,0.7,3,4,0.75,3,3,1,1,1,1,0,0,1,5,34,-3,PHO,202407030DAL
Diana Taurasi,30:29:00,2,8,0.25,2,6,0.333,10,11,0.909,0,5,4,0,0,2,3,16,11,PHO,202407030DAL
Natasha Cloud,30:15:00,3,7,0.429,1,3,0.333,4,5,0.8,0,2,10,2,0,1,4,11,16,PHO,202407030DAL
Rebecca Allen,20:01,5,8,0.625,4,5,0.8,0,0,,1,3,0,0,1,1,2,14,1,PHO,202407030DAL
Arike Ogunbowale,39:54:00,8,22,0.364,3,10,0.3,7,7,1,1,6,5,2,0,1,4,26,-8,DAL,202407030DAL
Odyssey Sims,37:53:00,5,11,0.455,0,2,0,3,4,0.75,1,1,6,1,1,3,3,13,-4,DAL,202407030DAL
Natasha Howard,33:38:00,11,15,0.733,1,2,0.5,13,17,0.765,6,11,1,1,0,1,3,36,-2,DAL,202407030DAL
Jacy Sheldon,24:01:00,1,3,0.333,0,1,0,0,0,,0,1,2,0,0,1,3,2,-11,DAL,202407030DAL
Teaira McCowan,15:27,1,2,0.5,0,0,,1,4,0.25,0,3,0,0,0,3,3,3,-12,DAL,202407030DAL
Ariel Atkins,28:14:00,6,14,0.429,2,4,0.5,4,4,1,2,3,1,2,0,2,0,18,-13,WAS,202407040LVA
Julie Vanloo,27:59:00,2,9,0.222,1,5,0.2,0,0,,0,3,2,1,0,4,0,5,-15,WAS,202407040LVA
Aaliyah Edwards,22:51,2,6,0.333,0,1,0,2,4,0.5,1,6,3,0,0,1,5,6,-21,WAS,202407040LVA
DiDi Richards,21:32,1,4,0.25,0,1,0,1,4,0.25,0,1,1,0,0,1,1,3,-19,WAS,202407040LVA
Myisha Hines-Allen,18:47,3,6,0.5,0,0,,0,0,,1,5,4,0,1,2,2,6,-13,WAS,202407040LVA
Jackie Young,27:07:00,8,15,0.533,1,3,0.333,3,3,1,2,5,10,1,0,3,4,20,25,LVA,202407040LVA
A'ja Wilson,26:13:00,9,12,0.75,0,1,0,0,0,,0,9,4,3,3,2,3,18,27,LVA,202407040LVA
Kelsey Plum,25:28:00,10,13,0.769,6,9,0.667,2,2,1,0,1,3,1,0,3,2,28,29,LVA,202407040LVA
Chelsea Gray,21:00,2,4,0.5,2,4,0.5,2,2,1,0,2,5,1,0,4,0,8,15,LVA,202407040LVA
Kiah Stokes,13:01,0,0,,0,0,,0,0,,0,5,1,0,0,0,1,0,7,LVA,202407040LVA
Alyssa Thomas,40:00:00,4,10,0.4,0,0,,5,5,1,2,10,14,2,0,4,2,13,5,CON,202407040MIN
DeWanna Bonner,35:41:00,10,16,0.625,2,4,0.5,2,2,1,1,9,1,1,0,3,0,24,10,CON,202407040MIN
DiJonai Carrington,33:44:00,6,13,0.462,3,4,0.75,2,2,1,1,6,1,2,1,1,1,17,5,CON,202407040MIN
Veronica Burton,29:21:00,3,7,0.429,1,3,0.333,2,2,1,2,2,3,4,1,3,2,9,0,CON,202407040MIN
Brionna Jones,25:29:00,3,8,0.375,0,1,0,1,2,0.5,2,5,3,1,0,1,2,7,8,CON,202407040MIN
Bridget Carleton,32:24:00,4,9,0.444,4,6,0.667,0,0,,0,2,3,1,0,3,2,12,-6,MIN,202407040MIN
Kayla McBride,31:00:00,5,11,0.455,3,6,0.5,0,0,,2,8,4,1,0,4,2,13,-7,MIN,202407040MIN
Alanna Smith,30:24:00,5,6,0.833,4,5,0.8,0,2,0,1,4,2,1,2,2,5,14,1,MIN,202407040MIN
Courtney Williams,28:14:00,5,10,0.5,1,2,0.5,1,2,0.5,0,2,6,0,0,3,3,12,-10,MIN,202407040MIN
Napheesa Collier,24:34:00,4,9,0.444,1,2,0.5,0,0,,1,6,1,2,2,1,1,9,1,MIN,202407040MIN
Allisha Gray,36:30:00,7,15,0.467,1,3,0.333,4,6,0.667,0,7,8,1,1,6,5,19,1,ATL,202407050DAL
Haley Jones,35:04:00,7,9,0.778,0,0,,2,3,0.667,0,1,4,1,1,4,4,16,0,ATL,202407050DAL
Maya Caldwell,32:00:00,4,6,0.667,0,0,,3,3,1,1,1,3,2,1,0,2,11,7,ATL,202407050DAL
Tina Charles,30:47:00,5,11,0.455,0,0,,2,2,1,2,8,2,1,2,7,3,12,-5,ATL,202407050DAL
Nia Coffey,16:12,3,4,0.75,1,2,0.5,0,0,,0,2,0,1,1,1,3,7,-13,ATL,202407050DAL
Odyssey Sims,38:51:00,5,9,0.556,1,4,0.25,3,4,0.75,0,1,7,5,1,2,2,14,7,DAL,202407050DAL
Arike Ogunbowale,38:43:00,6,16,0.375,1,7,0.143,6,8,0.75,0,5,4,2,1,4,3,19,2,DAL,202407050DAL
Jacy Sheldon,35:23:00,6,12,0.5,5,8,0.625,0,0,,2,2,3,2,0,1,1,17,0,DAL,202407050DAL
Teaira McCowan,28:03:00,6,14,0.429,0,0,,4,4,1,4,11,4,1,1,2,3,16,6,DAL,202407050DAL
Natasha Howard,24:28:00,5,8,0.625,0,2,0,0,2,0,0,2,2,2,2,5,3,10,7,DAL,202407050DAL
A'ja Wilson,41:28:00,13,23,0.565,0,3,0,9,9,1,0,12,3,0,6,2,5,35,-5,LVA,202407050LAS
Kelsey Plum,39:57:00,6,13,0.462,4,7,0.571,5,5,1,0,4,2,1,0,2,5,21,3,LVA,202407050LAS
Jackie Young,37:14:00,6,12,0.5,3,6,0.5,3,5,0.6,1,7,3,0,0,2,1,18,-5,LVA,202407050LAS
Chelsea Gray,28:41:00,1,9,0.111,0,3,0,1,1,1,1,3,6,0,0,1,4,3,-17,LVA,202407050LAS
Kiah Stokes,24:21:00,1,1,1,0,0,,0,0,,0,6,0,0,2,1,4,2,-18,LVA,202407050LAS
Rickea Jackson,41:28:00,5,17,0.294,3,8,0.375,1,2,0.5,4,6,3,0,0,1,0,14,0,LAS,202407050LAS
Aari McDonald,39:45:00,8,17,0.471,4,8,0.5,3,4,0.75,0,5,3,2,1,0,4,23,4,LAS,202407050LAS
Stephanie Talbot,38:34:00,5,10,0.5,2,4,0.5,1,1,1,0,5,9,0,0,0,0,13,12,LAS,202407050LAS
Dearica Hamby,36:50:00,9,20,0.45,0,2,0,10,15,0.667,4,14,4,1,0,1,4,28,6,LAS,202407050LAS
Kia Nurse,11:28,0,3,0,0,2,0,0,0,,1,1,1,0,0,0,2,0,-7,LAS,202407050LAS
Chennedy Carter,35:37:00,15,24,0.625,0,0,,3,5,0.6,1,4,3,3,1,0,4,33,13,CHI,202407050SEA
Kamilla Cardoso,33:46:00,4,9,0.444,0,0,,1,2,0.5,4,8,1,1,2,4,4,9,-1,CHI,202407050SEA
Lindsay Allen,31:12:00,2,4,0.5,0,1,0,1,2,0.5,0,2,1,3,0,0,4,5,2,CHI,202407050SEA
Angel Reese,30:33:00,8,13,0.615,2,2,1,9,10,0.9,7,10,2,0,2,2,4,27,7,CHI,202407050SEA
Marina Mabrey,29:29:00,3,10,0.3,2,6,0.333,0,0,,0,4,7,0,0,3,3,8,5,CHI,202407050SEA
Jewell Loyd,36:38:00,5,14,0.357,0,6,0,3,4,0.75,1,2,5,3,0,2,1,13,-4,SEA,202407050SEA
Skylar Diggins-Smith,34:51:00,2,7,0.286,0,2,0,8,8,1,0,3,9,1,0,3,4,12,-2,SEA,202407050SEA
Nneka Ogwumike,34:17:00,5,11,0.455,1,2,0.5,5,6,0.833,0,3,4,0,0,2,3,16,-6,SEA,202407050SEA
Jordan Horston,32:34:00,8,11,0.727,2,4,0.5,2,4,0.5,3,6,0,1,0,3,2,20,-5,SEA,202407050SEA
Ezi Magbegor,32:24:00,5,15,0.333,0,2,0,3,4,0.75,4,8,1,1,8,3,4,13,5,SEA,202407050SEA
Betnijah Laney,37:30:00,8,14,0.571,4,10,0.4,0,0,,2,4,4,1,0,3,2,20,-4,NYL,202407060IND
Breanna Stewart,35:47:00,3,11,0.273,0,5,0,8,10,0.8,1,6,6,2,1,1,4,14,-11,NYL,202407060IND
Sabrina Ionescu,34:37:00,9,23,0.391,4,13,0.308,0,0,,0,3,4,0,0,1,1,22,-9,NYL,202407060IND
Jonquel Jones,31:26:00,2,5,0.4,0,3,0,2,6,0.333,2,12,2,3,0,2,2,6,-9,NYL,202407060IND
Courtney Vandersloot,13:55,1,2,0.5,0,0,,0,0,,0,1,2,0,0,2,0,2,4,NYL,202407060IND
Caitlin Clark,38:28:00,7,17,0.412,3,12,0.25,2,2,1,0,12,13,2,0,4,3,19,9,IND,202407060IND
Kelsey Mitchell,35:33:00,5,14,0.357,2,7,0.286,2,2,1,1,4,2,1,0,1,0,14,5,IND,202407060IND
Aliyah Boston,32:54:00,8,12,0.667,0,0,,2,2,1,0,8,2,1,2,0,2,18,6,IND,202407060IND
NaLyssa Smith,29:12:00,4,8,0.5,0,0,,4,6,0.667,4,11,0,1,0,4,4,12,22,IND,202407060IND
Katie Lou Samuelson,25:54:00,2,6,0.333,1,3,0.333,0,0,,0,2,1,1,0,0,3,5,-13,IND,202407060IND
Ariel Atkins,34:19:00,6,15,0.4,3,9,0.333,0,0,,1,3,4,3,0,2,2,15,-8,WAS,202407060MIN
Myisha Hines-Allen,28:26:00,5,7,0.714,0,0,,1,2,0.5,3,11,6,2,0,2,1,11,7,WAS,202407060MIN
Stefanie Dolson,26:29:00,4,8,0.5,0,2,0,2,3,0.667,1,5,1,0,0,4,1,10,2,WAS,202407060MIN
Julie Vanloo,24:51:00,0,9,0,0,7,0,0,0,,0,1,4,1,0,4,4,0,-11,WAS,202407060MIN
DiDi Richards,16:26,0,1,0,0,0,,2,2,1,0,2,0,0,0,0,1,2,-5,WAS,202407060MIN
Kayla McBride,34:03:00,6,12,0.5,2,4,0.5,3,4,0.75,0,1,3,1,0,4,0,17,8,MIN,202407060MIN
Courtney Williams,32:54:00,7,16,0.438,1,3,0.333,2,4,0.5,2,6,7,2,1,4,1,17,16,MIN,202407060MIN
Bridget Carleton,30:53:00,4,10,0.4,3,8,0.375,2,2,1,3,6,1,1,0,1,5,13,8,MIN,202407060MIN
Alanna Smith,29:08:00,2,11,0.182,0,3,0,3,4,0.75,4,8,3,2,2,0,2,7,8,MIN,202407060MIN
Dorka JuhÃ¡sz,23:07,1,3,0.333,0,1,0,0,0,,2,11,0,1,0,0,0,2,-10,MIN,202407060MIN
Maya Caldwell,30:04:00,1,8,0.125,1,3,0.333,2,2,1,0,3,2,1,0,4,3,5,0,ATL,202407070CON
Nia Coffey,28:33:00,4,6,0.667,1,1,1,2,2,1,1,3,1,1,0,0,1,11,-13,ATL,202407070CON
Tina Charles,23:04,5,14,0.357,1,2,0.5,2,2,1,1,3,4,0,2,0,2,13,-13,ATL,202407070CON
Allisha Gray,21:22,7,11,0.636,1,2,0.5,4,4,1,0,3,2,1,0,1,2,19,-11,ATL,202407070CON
Haley Jones,21:05,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,3,2,-11,ATL,202407070CON
DeWanna Bonner,31:09:00,7,11,0.636,7,9,0.778,2,2,1,0,4,1,1,1,0,2,23,13,CON,202407070CON
Alyssa Thomas,24:42:00,3,5,0.6,0,0,,1,2,0.5,2,7,9,1,0,1,1,7,20,CON,202407070CON
DiJonai Carrington,23:33,2,9,0.222,1,5,0.2,4,4,1,2,6,3,0,0,1,3,9,4,CON,202407070CON
Brionna Jones,21:59,4,8,0.5,0,0,,3,4,0.75,3,4,3,0,0,2,1,11,11,CON,202407070CON
Tyasha Harris,21:52,4,8,0.5,0,3,0,0,3,0,0,1,0,0,0,1,0,8,13,CON,202407070CON
Sophie Cunningham,37:37:00,3,6,0.5,2,5,0.4,0,0,,1,3,2,0,0,0,4,8,1,PHO,202407070LAS
Natasha Cloud,36:32:00,10,16,0.625,4,6,0.667,7,7,1,1,9,5,2,2,6,3,31,10,PHO,202407070LAS
Kahleah Copper,34:34:00,7,17,0.412,0,5,0,11,13,0.846,1,10,5,0,0,4,3,25,11,PHO,202407070LAS
Brittney Griner,33:19:00,3,9,0.333,0,0,,3,4,0.75,2,7,3,0,1,3,5,9,7,PHO,202407070LAS
